NTD ID,Legacy NTD ID,Agency,Mode,TOS,3 Mode,Mode/Type of Service Status,Reporter Type,Organization Type,HQ City,HQ State,UACE CD,UZA Name, UZA SQ Miles , UZA Population , Service Area Population , Service Area SQ Miles ,Last Closed Report Year,Last Closed FY End Month,Last Closed FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
00002,0002,Spokane Transit Authority,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA", 171.67 ," 447,279 "," 471,169 ", 248 ,2023,12,2023,"1,365,690","164,955",8,"$59,370.00 ","$6,995,814.00 ",$42.41 ,$0.36 
00002,0002,Spokane Transit Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA", 171.67 ," 447,279 "," 471,169 ", 248 ,2023,12,2023,"40,386,159","8,947,157",5,"$5,764,300.00 ","$86,749,358.00 ",$9.70 ,$0.64 
00002,0002,Spokane Transit Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA", 171.67 ," 447,279 "," 471,169 ", 248 ,2023,12,2023,"2,933,369","95,655",31,"$284,041.00 ","$778,566.00 ",$8.14 ,$2.97 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 575,963 ", 292 ,2023,12,2023,"310,358","41,887",7,"$64,780.00 ","$3,337,404.00 ",$79.68 ,$1.55 
00003,0003,Pierce County Transportation Benefit Area Authority,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 575,963 ", 292 ,2023,12,2023,"1,821,091","236,511",8,"$322,833.00 ","$15,308,323.00 ",$64.73 ,$1.36 
00003,0003,Pierce County Transportation Benefit Area Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 575,963 ", 292 ,2023,12,2023,"26,326,548","6,101,806",4,"$4,290,475.00 ","$76,259,695.00 ",$12.50 ,$0.70 
00003,0003,Pierce County Transportation Benefit Area Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 575,963 ", 292 ,2023,12,2023,"11,904,323","412,041",29,"$1,599,237.00 ","$4,524,209.00 ",$10.98 ,$3.88 
00005,0005,City of Everett,DR,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",EVERETT,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 110,629 ", 34 ,2023,12,2023,"390,242","75,085",5,"$121,136.00 ","$6,550,415.00 ",$87.24 ,$1.61 
00005,0005,City of Everett,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",EVERETT,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 110,629 ", 34 ,2023,12,2023,"4,803,479","1,329,885",4,"$969,209.00 ","$20,785,261.00 ",$15.63 ,$0.73 
00006,0006,City of Yakima,CB,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA", 55.77 ," 133,145 "," 100,716 ", 33 ,2023,12,2023,"857,216","25,992",33,"$204,846.00 ","$705,659.00 ",$27.15 ,$7.88 
00006,0006,City of Yakima,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA", 55.77 ," 133,145 "," 100,716 ", 33 ,2023,12,2023,"162,905","46,137",4,"$86,441.00 ","$1,841,665.00 ",$39.92 ,$1.87 
00006,0006,City of Yakima,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA", 55.77 ," 133,145 "," 100,716 ", 33 ,2023,12,2023,"2,415,244","574,582",4,"$295,091.00 ","$7,625,824.00 ",$13.27 ,$0.51 
00006,0006,City of Yakima,VP,DO,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",YAKIMA,WA,97507,"Yakima, WA", 55.77 ," 133,145 "," 100,716 ", 33 ,2021,12,2021,"162,002","3,355",48,"$17,591.00 ","$72,901.00 ",$21.73 ,$5.24 
00007,0007,Lane Transit District,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR", 73.49 ," 270,179 "," 327,173 ", 482 ,2023,6,2023,"622,623","95,218",7,"$282,585.00 ","$4,674,885.00 ",$49.10 ,$2.97 
00007,0007,Lane Transit District,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR", 73.49 ," 270,179 "," 327,173 ", 482 ,2023,6,2023,"2,407,913","233,468",10,"$11,734,077.00 ","$6,682,461.00 ",$28.62 ,$50.26 
00007,0007,Lane Transit District,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR", 73.49 ," 270,179 "," 327,173 ", 482 ,2023,6,2023,"12,630,111","3,405,660",4,"$2,462,769.00 ","$39,182,127.00 ",$11.51 ,$0.72 
00007,0007,Lane Transit District,MB,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR", 73.49 ," 270,179 "," 327,173 ", 482 ,2023,6,2023,"324,203","13,050",25,"$23,965.00 ","$509,644.00 ",$39.05 ,$1.84 
00007,0007,Lane Transit District,RB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR", 73.49 ," 270,179 "," 327,173 ", 482 ,2023,6,2023,"6,304,956","2,554,326",2,"$1,941,487.00 ","$14,245,853.00 ",$5.58 ,$0.76 
00007,0007,Lane Transit District,VP,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,EUGENE,OR,28117,"Eugene, OR", 73.49 ," 270,179 "," 327,173 ", 482 ,2023,6,2023,"490,146","9,891",50,"$65,230.00 ","$133,661.00 ",$13.51 ,$6.59 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,CR,PT,Rail,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2011,6,2011,"2,558,105","306,228",8,"$311,656.00 ","$6,245,998.00 ",$20.40 ,$1.02 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2023,6,2023,"3,847,851","480,730",8,"$7,220,557.00 ","$41,651,594.00 ",$86.64 ,$15.02 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DR,TN,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2023,6,2023,"45,438","2,636",17,"$39,592.00 ","$238,366.00 ",$90.43 ,$15.02 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2023,6,2023,"562,665","56,165",10,"$843,597.00 ","$3,775,701.00 ",$67.23 ,$15.02 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Rail,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2023,6,2023,"112,827,685","21,815,521",5,"$19,592,787.00 ","$210,004,456.00 ",$9.63 ,$0.90 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2023,6,2023,"113,234,575","34,970,137",3,"$28,981,321.00 ","$371,074,114.00 ",$10.61 ,$0.83 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,SR,DO,Rail,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2012,6,2012,"3,652,854","3,788,400",1,$0.00 ,"$7,695,125.00 ",$2.03 ,$0.00 
00008,0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,Rail,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,Portland,OR,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 1,512,100 ", 376 ,2023,6,2023,"912,166","117,461",8,"$74,198.00 ","$10,472,327.00 ",$89.16 ,$0.63 
00011,0011,Valley Regional Transit,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,08785,"Boise City, ID", 139.23 ," 433,180 "," 763,140 ", 66 ,2023,9,2023,"40,809","6,477",6,$129.00 ,"$212,202.00 ",$32.76 ,$0.02 
00011,0011,Valley Regional Transit,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,08785,"Boise City, ID", 139.23 ," 433,180 "," 763,140 ", 66 ,2023,9,2023,"540,793","100,505",5,"$93,710.00 ","$6,506,514.00 ",$64.74 ,$0.93 
00011,0011,Valley Regional Transit,MB,DO,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,08785,"Boise City, ID", 139.23 ," 433,180 "," 763,140 ", 66 ,2017,9,2017,"7,130,715","1,345,418",5,"$841,606.00 ","$10,571,737.00 ",$7.86 ,$0.63 
00011,0011,Valley Regional Transit,MB,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,MERIDIAN,ID,08785,"Boise City, ID", 139.23 ," 433,180 "," 763,140 ", 66 ,2023,9,2023,"3,897,062","989,216",4,"$680,454.00 ","$14,522,985.00 ",$14.68 ,$0.69 
00012,0012,Municipality of Anchorage,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,02305,"Anchorage, AK", 91.69 ," 249,252 "," 291,247 ", 77 ,2023,12,2023,"998,596","153,737",6,"$901,247.00 ","$6,604,490.00 ",$42.96 ,$5.86 
00012,0012,Municipality of Anchorage,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,02305,"Anchorage, AK", 91.69 ," 249,252 "," 291,247 ", 77 ,2023,12,2023,"10,797,599","2,745,046",4,"$3,160,339.00 ","$31,188,084.00 ",$11.36 ,$1.15 
00012,0012,Municipality of Anchorage,MB,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,02305,"Anchorage, AK", 91.69 ," 249,252 "," 291,247 ", 77 ,2019,12,2019,"703,055","158,949",4,"$233,684.00 ","$2,115,869.00 ",$13.31 ,$1.47 
00012,0012,Municipality of Anchorage,VP,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",ANCHORAGE,AK,02305,"Anchorage, AK", 91.69 ," 249,252 "," 291,247 ", 77 ,2023,12,2023,"8,795,173","219,094",40,"$1,584,494.00 ","$1,227,311.00 ",$5.60 ,$7.23 
00016,0016,City of Longview,CB,DO,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",LONGVIEW,WA,51283,"Longview, WA--OR", 35.19 ," 69,841 "," 61,598 ", 31 ,2023,12,2023,"3,720",310,12,$0.00 ,"$45,846.00 ",$147.89 ,$0.00 
00016,0016,City of Longview,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",LONGVIEW,WA,51283,"Longview, WA--OR", 35.19 ," 69,841 "," 61,598 ", 31 ,2023,12,2023,"103,015","32,057",3,"$20,448.00 ","$1,594,683.00 ",$49.75 ,$0.64 
00016,0016,City of Longview,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",LONGVIEW,WA,51283,"Longview, WA--OR", 35.19 ," 69,841 "," 61,598 ", 31 ,2023,12,2023,"933,382","242,437",4,"$118,577.00 ","$4,236,468.00 ",$17.47 ,$0.49 
00016,0016,City of Longview,VP,DO,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",LONGVIEW,WA,51283,"Longview, WA--OR", 35.19 ," 69,841 "," 61,598 ", 31 ,2017,12,2017,"1,016",18,56,$288.00 ,"$10,914.00 ",$606.33 ,$16.00 
00018,0018,Ben Franklin Transit,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,44479,"Kennewick--Richland--Pasco, WA", 112.21 ," 255,401 "," 307,750 ", 616 ,2023,12,2023,"1,870,067","234,982",8,"$231,684.00 ","$13,679,233.00 ",$58.21 ,$0.99 
00018,0018,Ben Franklin Transit,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,44479,"Kennewick--Richland--Pasco, WA", 112.21 ," 255,401 "," 307,750 ", 616 ,2023,12,2023,"664,586","189,542",4,"$14,418.00 ","$4,134,143.00 ",$21.81 ,$0.08 
00018,0018,Ben Franklin Transit,DR,TX,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,44479,"Kennewick--Richland--Pasco, WA", 112.21 ," 255,401 "," 307,750 ", 616 ,2018,12,2018,"376,732","50,149",8,"$61,594.00 ","$1,127,211.00 ",$22.48 ,$1.23 
00018,0018,Ben Franklin Transit,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,44479,"Kennewick--Richland--Pasco, WA", 112.21 ," 255,401 "," 307,750 ", 616 ,2023,12,2023,"11,225,436","2,447,715",5,"$641,469.00 ","$27,434,086.00 ",$11.21 ,$0.26 
00018,0018,Ben Franklin Transit,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,RICHLAND,WA,44479,"Kennewick--Richland--Pasco, WA", 112.21 ," 255,401 "," 307,750 ", 616 ,2023,12,2023,"10,565,293","306,138",35,"$901,870.00 ","$1,962,788.00 ",$6.41 ,$2.95 
00019,0019,Intercity Transit,CB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,65242,"Olympia--Lacey, WA", 106.21 ," 208,157 "," 200,200 ", 101 ,2023,12,2023,"1,961,796","113,439",17,$0.00 ,"$2,337,751.00 ",$20.61 ,$0.00 
00019,0019,Intercity Transit,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,65242,"Olympia--Lacey, WA", 106.21 ," 208,157 "," 200,200 ", 101 ,2023,12,2023,"750,278","137,303",5,$0.00 ,"$18,109,913.00 ",$131.90 ,$0.00 
00019,0019,Intercity Transit,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,65242,"Olympia--Lacey, WA", 106.21 ," 208,157 "," 200,200 ", 101 ,2023,12,2023,"13,766,600","3,449,951",4,$0.00 ,"$42,160,796.00 ",$12.22 ,$0.00 
00019,0019,Intercity Transit,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,OLYMPIA,WA,65242,"Olympia--Lacey, WA", 106.21 ," 208,157 "," 200,200 ", 101 ,2023,12,2023,"8,049,436","198,302",41,"$466,799.00 ","$3,014,895.00 ",$15.20 ,$2.35 
00020,0020,Kitsap County Public Transportation Benefit Area Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,09946,"Bremerton, WA", 146.91 ," 224,449 "," 254,183 ", 396 ,2023,12,2023,"1,507,150","250,804",6,"$192,498.00 ","$16,805,992.00 ",$67.01 ,$0.77 
00020,0020,Kitsap County Public Transportation Benefit Area Authority,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,09946,"Bremerton, WA", 146.91 ," 224,449 "," 254,183 ", 396 ,2023,12,2023,"62,073","2,775",22,"$5,430.00 ","$283,244.00 ",$102.07 ,$1.96 
00020,0020,Kitsap County Public Transportation Benefit Area Authority,FB,DO,Ferry,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,09946,"Bremerton, WA", 146.91 ," 224,449 "," 254,183 ", 396 ,2023,12,2023,"12,008,216","1,092,230",11,"$4,045,190.00 ","$18,214,512.00 ",$16.68 ,$3.70 
00020,0020,Kitsap County Public Transportation Benefit Area Authority,FB,PT,Ferry,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,09946,"Bremerton, WA", 146.91 ," 224,449 "," 254,183 ", 396 ,2020,12,2020,"489,123","279,499",2,"$414,420.00 ","$1,942,377.00 ",$6.95 ,$1.48 
00020,0020,Kitsap County Public Transportation Benefit Area Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,09946,"Bremerton, WA", 146.91 ," 224,449 "," 254,183 ", 396 ,2023,12,2023,"8,504,523","1,313,942",6,"$2,080,325.00 ","$31,622,708.00 ",$24.07 ,$1.58 
00020,0020,Kitsap County Public Transportation Benefit Area Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BREMERTON,WA,09946,"Bremerton, WA", 146.91 ," 224,449 "," 254,183 ", 396 ,2023,12,2023,"2,012,472","79,380",25,"$251,318.00 ","$1,248,355.00 ",$15.73 ,$3.17 
00021,0021,Whatcom Transportation Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,06652,"Bellingham, WA", 50.13 ," 128,979 "," 235,629 ", 776 ,2023,12,2023,"999,727","189,173",5,"$82,695.00 ","$14,656,976.00 ",$77.48 ,$0.44 
00021,0021,Whatcom Transportation Authority,DR,PT,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,06652,"Bellingham, WA", 50.13 ," 128,979 "," 235,629 ", 776 ,2010,12,2010,"23,248","2,305",10,$93.00 ,"$57,899.00 ",$25.12 ,$0.04 
00021,0021,Whatcom Transportation Authority,DR,TX,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,06652,"Bellingham, WA", 50.13 ," 128,979 "," 235,629 ", 776 ,2020,12,2020,"4,033",261,15,$51.00 ,"$10,228.00 ",$39.19 ,$0.20 
00021,0021,Whatcom Transportation Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,06652,"Bellingham, WA", 50.13 ," 128,979 "," 235,629 ", 776 ,2023,12,2023,"10,032,081","3,510,911",3,"$1,516,827.00 ","$29,021,449.00 ",$8.27 ,$0.43 
00021,0021,Whatcom Transportation Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,BELLINGHAM,WA,06652,"Bellingham, WA", 50.13 ," 128,979 "," 235,629 ", 776 ,2023,12,2023,"889,918","24,612",36,"$63,975.00 ","$164,890.00 ",$6.70 ,$2.60 
00022,0022,City of Pocatello,DR,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",POCATELLO,ID,70426,"Pocatello, ID", 27.46 ," 72,211 "," 175,045 "," 5,460 ",2023,9,2023,,,,,,,
00022,0022,City of Pocatello,MB,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",POCATELLO,ID,70426,"Pocatello, ID", 27.46 ," 72,211 "," 175,045 "," 5,460 ",2023,9,2023,,,,,,,
00023,0023,City of Seattle,MG,PT,Rail,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 753,655 ", 83 ,2023,12,2023,"1,921,479","2,134,977",1,"$6,214,624.00 ","$6,327,832.00 ",$2.96 ,$2.91 
00024,0024,Clark County Public Transportation Benefit Area Authority,CB,DO,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 451,875 ", 143 ,2017,12,2017,"8,689,661","750,355",12,"$3,325,175.00 ","$6,449,118.00 ",$8.59 ,$4.43 
00024,0024,Clark County Public Transportation Benefit Area Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 451,875 ", 143 ,2023,12,2023,"1,849,735","251,635",7,"$204,958.00 ","$17,564,335.00 ",$69.80 ,$0.81 
00024,0024,Clark County Public Transportation Benefit Area Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 451,875 ", 143 ,2023,12,2023,"17,290,035","4,218,801",4,"$2,554,397.00 ","$51,325,849.00 ",$12.17 ,$0.61 
00024,0024,Clark County Public Transportation Benefit Area Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,VANCOUVER,WA,71317,"Portland, OR--WA", 519.30 ," 2,104,238 "," 451,875 ", 143 ,2023,12,2023,"481,691","21,870",22,"$112,278.00 ","$375,071.00 ",$17.15 ,$5.13 
00025,0025,Salem Area Mass Transit District,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,78229,"Salem, OR", 72.68 ," 268,331 "," 309,881 ", 78 ,2023,6,2023,"501,824","84,798",6,"$889,648.00 ","$4,502,561.00 ",$53.10 ,$10.49 
00025,0025,Salem Area Mass Transit District,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,78229,"Salem, OR", 72.68 ," 268,331 "," 309,881 ", 78 ,2023,6,2023,"7,138,072","2,762,649",3,"$2,146,859.00 ","$37,364,843.00 ",$13.53 ,$0.78 
00025,0025,Salem Area Mass Transit District,MB,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,78229,"Salem, OR", 72.68 ," 268,331 "," 309,881 ", 78 ,2023,6,2023,"1,164,409","84,987",14,"$120,797.00 ","$2,363,090.00 ",$27.81 ,$1.42 
00025,0025,Salem Area Mass Transit District,VP,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SALEM,OR,78229,"Salem, OR", 72.68 ," 268,331 "," 309,881 ", 78 ,2023,6,2023,"2,441,828","94,821",26,"$561,683.00 ","$446,738.00 ",$4.71 ,$5.92 
00028,0028,County of Pierce,FB,PT,Ferry,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",TACOMA,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 925,708 ", 233 ,2023,12,2023,"1,762,277","446,539",4,"$3,131,940.00 ","$10,753,517.00 ",$24.08 ,$7.01 
00029,0029,Snohomish County Public Transportation Benefit Area Corporation,CB,DO,Bus,Inactive,Full Reporter,Independent Public Agency or Authority of Transit Service,EVERETT,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 910,144 ", 255 ,2023,12,2023,"5,415,012","333,356",16,"$862,734.00 ","$11,403,760.00 ",$34.21 ,$2.59 
